,Season,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,birth_year,height_cm,weight,weight_kg,draft_round,draft_pick,3PM_ratio,avg_height_cm,avg_weight,avg_BMI,Pts/Game,Ast/Game,FGA/Game,FGM/Game,ORB/Game,DRB/Game,REB/Game,MIN/Game,3PM/Game,3PA/Game,FTA/Game,FTM/Game,TOV/Game,PF/Game,STL/Game,BLK/Game,Type
20,2019 - 2020,16906,428108.0999999998,73855,159973,22510,61942,32949,42239,24816,35302,17160,61501,78661,44410,13559,8464,203169,558010.0,56085.0,60630.0,27499.0,307.0,3069.0,0.3047864057951391,200.30357142857142,216.53571428571428,24.478313011581072,113.8977748844276,24.89651562304008,89.68183503185297,41.40356139021899,9.620000182196977,34.47783398632263,44.097834168519604,25.322849875783735,12.619242663243238,34.72506126373224,23.679439842413643,18.4714094407464,13.91200026348486,19.79051552633553,7.601257719720794,4.744969786836551,Regular Season
0,1999 - 2000,1301,35055.0,4938,11301,760,2141,2841,3835,1794,3475,1614,4376,5990,2873,991,709,13475,265931.0,27065.0,29542.0,13394.0,154.0,1367.0,0.15390846496557312,200.4814814814815,218.82962962962964,24.684708341329483,92.25502781343603,19.669661959777493,77.37098844672657,33.807445442875476,11.050064184852374,29.959777492511765,41.00984167736414,26.944657955418908,5.203252032520325,14.65810868635002,26.255883611467695,19.450577663671375,12.282413350449293,23.791185280273854,6.784766795036371,4.854086435601198,Playoffs
1,2000 - 2001,1166,32386.0,4714,10917,724,2011,2700,3556,1720,2950,1670,4121,5791,2747,978,748,12855,244473.0,24908.0,27257.0,12359.0,139.0,1355.0,0.1535850657615613,200.8709677419355,219.81451612903226,24.70172618405799,95.26338541345027,20.3569443586735,80.90162415858704,34.93361328969308,12.375717902797504,30.539121842771564,42.91483974556907,27.775300171526588,5.365281294386463,14.902735750015438,26.35212746248379,20.00864571110974,12.746248378929167,21.861298091768045,7.247576113135306,5.543135922929661,Playoffs
2,2001 - 2002,1178,33091.0,4738,10993,774,2297,2740,3671,1829,3156,1616,4305,5921,2723,1024,717,12989,252533.0,25758.0,28481.0,12914.0,135.0,1392.0,0.163360067539046,201.234375,222.5078125,24.914172896611603,94.2056752591339,19.74917651325134,79.72923151310025,34.36342207851077,11.720407361518237,31.222991145628722,42.94339850714696,28.09083191850594,5.613610951618265,16.65951467166299,26.62476201988456,19.872472877821764,13.265238282312412,22.88960744613339,7.4267927835363095,5.200205493940951,Playoffs
3,2002 - 2003,1573,41578.0,5977,13673,1050,2941,3546,4651,2369,4107,2016,5268,7284,3487,1256,848,16548,290104.0,29563.0,32598.0,14780.0,159.0,1583.0,0.17567341475656684,201.10884353741497,221.75510204081633,24.859635812456833,95.51974601952956,20.127952282457066,78.92443118957141,34.500937996055605,11.636923372937613,30.40838905190245,42.045312424840056,26.432294977749525,6.060897590071673,16.9762855356198,26.846890182307952,20.468517004184903,13.674539419885518,23.706768002308912,7.249987974409543,4.894896339410265,Playoffs
4,2003 - 2004,1448,38508.0,5191,12300,816,2506,2932,4052,2253,3638,1809,4935,6744,3142,1242,800,14130,270620.0,27522.0,30378.0,13776.0,139.0,1466.0,0.15719514544403776,200.8905109489051,221.73722627737226,24.91630969358924,88.06481770021814,19.582424431287006,76.65939545029605,32.35275786849486,11.274540355250856,30.757245247740734,42.03178560299159,26.593922651933703,5.085696478653786,15.618572764100966,25.25397320037395,18.273605484574635,14.0417575568713,22.673730133998127,7.740729199127454,4.985976939856653,Playoffs
5,2004 - 2005,1464,39674.0,5861,13033,1019,2845,3290,4406,2149,3806,1933,4842,6775,3114,1126,906,16031,290587.0,29471.0,32652.0,14810.0,155.0,1561.0,0.17386111585053746,200.48299319727892,222.12244897959184,25.06586223486782,96.97635731209355,18.837525835559813,78.84055048646468,35.45495790694157,11.693300398245704,29.29071936280688,40.98401976105258,27.099726775956285,6.164238544134697,17.210263648737207,26.653223773756114,19.90220295407572,12.999949589151585,23.023642687906435,6.811513837777889,5.480667439633009,Playoffs
6,2005 - 2006,1477,41920.40000000002,6177,13392,1052,2992,3596,4733,2241,4045,1775,5133,6908,3214,1092,735,17002,264986.0,26868.0,29740.0,13489.0,138.0,1300.0,0.1703092115913874,200.50746268656715,221.9402985074627,25.038820903961607,97.33876585147084,18.400587780650937,76.67102413144909,35.36416637245826,10.162116773694901,29.387124168662496,39.5492409423574,28.38212593094111,6.022843293480021,17.12960754191276,27.09706968444956,20.587589813074292,12.830030247802972,23.158175971603313,6.2518487419013145,4.207975114741269,Playoffs
7,2006 - 2007,1354,36727.40000000002,5281,11898,993,2808,2963,3968,2112,3307,1663,4607,6270,3015,1085,682,14518,261202.0,26518.0,29478.0,13375.0,145.0,1390.0,0.18803256958909298,200.8939393939394,223.3181818181818,25.106500909399976,94.86977025327134,19.701911924067577,77.74903750333534,34.509385363516046,10.867091054634953,30.105044190440907,40.972135245075854,27.1251107828656,6.488888404842157,18.34924334420622,25.929415096086284,19.362111121397092,13.801140293078184,21.610024123678766,7.090074440336093,4.4566182196398305,Playoffs
8,2007 - 2008,1568,40477.09999999999,5836,13080,1038,2940,3335,4407,2053,3779,1857,4974,6831,3367,1105,822,16045,287011.0,29089.0,32363.0,14680.0,160.0,1610.0,0.1778615490061686,200.61379310344827,223.19310344827585,25.15570392155313,95.13527401913677,19.963880811619415,77.55496317670982,34.60326950300294,11.010670230821875,29.492231409858913,40.50290164068079,25.81447704081632,6.154591114482017,17.432078879168717,26.13033048316209,19.77414389864887,12.172808822766456,22.406743566115168,6.551852776014093,4.873866951930846,Playoffs
